DATE,DM_EQ,EM_EQ,NB,CASH,EILB,PE,RE,GLOBAL_BONDS,GLOBAL_EQ
1995-03-31,-0.005169,-0.048459,0.00484,-0.046585,0.056665,-0.025484,-0.022426,-0.019474,-0.00843
1995-04-30,0.027444,0.03458,0.009953,-0.003611,0.035066,0.007644,-0.011369,0.006914,0.026844
1995-05-31,0.014037,0.060008,0.034283,0.011212,0.046134,0.021734,0.014208,0.037315,0.016656
1995-06-30,-0.008873,-0.004884,-0.002473,-0.002843,-0.005274,-0.00092,-0.009167,-0.001227,-0.008121
1995-07-31,0.063183,0.036131,0.014849,0.016917,-0.022994,0.0667,0.036818,0.015955,0.060924
1995-08-31,0.025168,0.023856,0.013076,0.054196,-0.031682,0.031559,0.01795,0.036238,0.026077
1995-09-30,0.01737,-0.015718,0.011813,-0.005531,-0.007523,-0.004361,0.024301,0.007485,0.016471
1995-10-31,-0.008561,-0.030754,0.014592,0.012474,0.010174,-0.018837,-0.014701,0.019173,-0.009817
1995-11-30,0.040398,-0.010442,0.017098,0.010649,0.018982,0.013617,0.019005,0.017387,0.037844
1995-12-31,0.029632,0.044819,0.010869,0.005121,0.020913,0.029972,0.00763,0.015016,0.02949
1996-01-31,0.039303,0.09594,0.008793,0.025739,-0.014825,0.046233,0.026889,0.017248,0.044497
1996-02-29,-0.003738,-0.026335,-0.015601,-0.005816,-0.026755,0.012248,0.001119,-0.018524,-0.00505
1996-03-31,0.021958,0.011058,0.003185,0.008993,-0.003379,0.023861,0.017625,0.001324,0.020501
1996-04-30,0.027362,0.047181,-0.000418,0.008035,-0.001592,0.054776,0.00873,-0.000999,0.029033
1996-05-31,0.007603,0.001445,0.007193,0.011685,-0.005051,0.002939,0.007336,0.008213,0.008428
1996-06-30,0.008894,0.00963,0.010146,0.006766,-0.000866,-0.007125,0.012602,0.013583,0.006837
1996-07-31,-0.053645,-0.087928,-0.001131,-0.015124,0.025906,-0.067509,-0.018505,-0.006923,-0.056874
1996-08-31,0.017502,0.03015,0.009938,0.010956,-0.0096,0.028601,0.020578,0.008333,0.018513
1996-09-30,0.05443,0.026836,0.018719,0.019489,0.0194,0.037809,0.032035,0.02604,0.052115
1996-10-31,0.007778,-0.023519,0.021037,0.007004,0.020953,-0.007312,0.00691,0.024388,0.006017
1996-11-30,0.058299,0.018406,0.016159,0.007685,0.032347,0.033801,0.024912,0.018104,0.057252
1996-12-31,-0.011398,0.009628,-0.003898,0.009027,-0.018423,-0.003447,-0.010627,-0.002801,-0.009726
1997-01-31,0.040846,0.09965,0.001721,0.033969,-0.082734,0.039716,0.041983,0.01251,0.047128
1997-02-28,0.017412,0.048886,-0.001339,0.010899,0.045668,0.022106,0.024865,0.001601,0.020383
1997-03-31,-0.014599,-0.022425,-0.003088,0.009206,-0.020311,-0.027365,-0.000675,-0.004349,-0.015287
1997-04-30,0.046213,0.015753,0.004754,0.019043,-0.007964,0.014354,0.01989,0.016544,0.046494
1997-05-31,0.028541,-0.004811,-0.0044,-0.026386,-0.020471,0.026341,-0.006131,-0.014009,0.025598
1997-06-30,0.047302,0.051912,0.011042,0.003524,0.037063,0.030946,0.002811,0.009336,0.050175
1997-07-31,0.070602,0.038808,0.015604,0.028629,0.02883,0.043418,0.034583,0.028095,0.070268
1997-08-31,-0.068625,-0.127538,-0.003183,0.002274,-0.022045,-0.065089,-0.017166,-0.005345,-0.071807
1997-09-30,0.048739,0.021004,0.014076,-0.002107,0.047483,0.014673,0.054702,0.012656,0.046844
1997-10-31,-0.061824,-0.17484,0.010327,-0.005147,0.085791,-0.083947,-0.01166,0.008387,-0.06958
1997-11-30,0.043586,-0.013727,0.008871,0.030155,0.027699,-0.015499,0.047167,0.018612,0.0399
1997-12-31,0.023519,0.037123,0.007709,0.01587,-0.016659,-0.00491,0.028151,0.012895,0.02481
1998-01-31,0.024832,-0.080378,-0.006027,0.00178,-0.010345,-0.00851,0.007334,0.005948,0.01903
1998-02-28,0.063221,0.101957,-0.038221,0.000981,0.015102,0.105334,0.001408,0.002299,0.064688
1998-03-31,0.065431,0.067728,0.02186,0.026697,0.066043,0.064883,0.045307,0.019323,0.065093
1998-04-30,-0.003148,-0.024374,-0.014273,-0.007431,0.001859,-0.020165,-0.001331,-0.000145,-0.002458
1998-05-31,-0.002134,-0.128711,-0.004105,0.014549,0.009602,-0.028864,0.014791,0.017305,-0.009046
1998-06-30,0.028968,-0.102763,-0.009716,0.00793,0.035057,-0.031191,0.030044,0.006001,0.021731
1998-07-31,0.005237,0.036175,0.017662,0.011345,-0.004822,-0.012651,0.030448,0.012922,0.007569
1998-08-31,-0.139458,-0.29388,-0.012133,-0.003837,0.021408,-0.160832,-0.045374,0.012391,-0.149023
1998-09-30,-0.010987,0.033548,-0.022425,-0.02332,0.003041,-0.006334,0.016328,0.017027,-0.010133
1998-10-31,0.033397,0.046644,-0.055991,-0.049123,-0.057571,0.035912,-0.034792,-0.040411,0.034055
1998-11-30,0.08034,0.102481,0.004824,0.023578,0.025423,0.076502,0.01469,0.014172,0.081553
1998-12-31,0.016757,-0.042398,-0.036557,-0.025925,0.01005,0.01152,-0.020414,-0.014961,0.014374
1999-01-31,0.042344,0.003153,0.015713,0.023245,0.02237,0.018713,0.030098,0.015063,0.039696
1999-02-28,-0.012572,0.025569,-0.019553,0.018876,-0.030385,-0.019508,-0.002004,-0.014579,-0.010867
1999-03-31,0.047532,0.135226,0.003462,0.007862,0.026368,0.062671,0.043817,0.004933,0.05011
1999-04-30,0.045104,0.127873,0.002327,0.008336,0.002696,0.09501,0.015517,0.003573,0.048575
1999-05-31,-0.026935,0.004518,-0.003166,0.009085,0.015036,0.005183,-0.008966,-0.004348,-0.026082
1999-06-30,0.048561,0.115569,-0.012023,0.001303,-0.018274,0.06084,0.030925,-0.012697,0.051064
1999-07-31,-0.032323,-0.05273,-0.018639,-0.013528,-0.017958,-0.021666,-0.017886,-0.014033,-0.033462
1999-08-31,-0.013217,-0.003293,-0.014756,-0.00703,-0.047513,0.00163,-0.006913,-0.01303,-0.01225
1999-09-30,-0.020915,-0.04463,-0.007253,-0.008921,0.017303,-0.033954,-0.005942,-0.001134,-0.02362
1999-10-31,0.048258,0.01763,-0.005996,-0.003948,0.010109,0.017842,0.013635,-0.004475,0.046405
1999-11-30,0.033242,0.097696,-0.010061,-0.005209,0.009461,0.063796,-0.001237,-0.005929,0.03658
1999-12-31,0.082253,0.12876,-0.005926,0.003266,0.012,0.084957,0.025294,-0.002477,0.083449
2000-01-31,-0.045201,0.016421,0.004468,0.016933,-0.011642,-0.009125,-0.018268,-0.004887,-0.044256
2000-02-29,0.013775,0.02271,0.014285,0.0143,0.002883,0.076659,0.035669,0.00742,0.013937
2000-03-31,0.043814,-0.016155,-0.00639,-0.017873,0.024364,-0.020126,0.017148,-0.002988,0.041006
2000-04-30,-0.01158,-0.066986,0.011731,0.036252,0.01946,-0.054,0.000968,0.00574,-0.015879
2000-05-31,-0.031679,-0.048332,-0.003174,-0.001075,-0.053461,-0.038629,0.012107,-0.001829,-0.032342
2000-06-30,0.013947,0.017213,0.004883,-0.00286,0.013916,0.024101,0.022899,0.006427,0.015002
2000-07-31,-0.009451,-0.032085,0.008183,0.012606,0.005485,-0.013485,0.0053,0.008876,-0.009042
2000-08-31,0.037436,0.008432,0.000736,-0.004947,-0.013785,0.052456,0.034075,-0.000791,0.036365
2000-09-30,-0.049371,-0.084222,0.0032,0.005662,0.019114,-0.051316,-0.008397,0.005663,-0.052626
2000-10-31,-0.002329,-0.056115,0.007873,0.006377,0.017753,-0.049638,0.026033,0.006143,-0.004381
2000-11-30,-0.065511,-0.093407,0.012075,0.000176,0.005548,-0.069839,-0.000959,0.01215,-0.067769
2000-12-31,-0.001373,0.006661,0.010426,-0.010762,0.047834,0.011619,0.023549,0.011922,-0.000625
2001-01-31,0.026576,0.14629,0.00686,0.013622,0.006358,0.066785,0.021551,0.012216,0.031778
2001-02-28,-0.078398,-0.075081,0.007158,0.008423,-0.003536,-0.047329,-0.012462,0.006326,-0.080679
2001-03-31,-0.037674,-0.071316,0.004836,0.035725,-0.007061,-0.046197,0.022988,0.009983,-0.038898
2001-04-30,0.065408,0.042157,-0.012035,-0.003351,-0.018804,0.059815,0.037482,-0.008272,0.065129
2001-05-31,-0.01442,0.00944,0.000954,0.00218,0.002309,0.007365,-0.013989,-0.00019,-0.012634
2001-06-30,-0.017646,-0.007101,0.003777,0.01714,0.015744,-0.003751,0.006103,0.006669,-0.017012
2001-07-31,-0.021095,-0.072215,0.013785,-0.005068,0.027783,-0.042858,0.019179,0.014914,-0.024185
2001-08-31,-0.071319,-0.035631,0.008273,-0.022185,0.009731,-0.040533,-0.020177,0.003911,-0.069068
2001-09-30,-0.090484,-0.157098,0.006604,0.000974,-0.010993,-0.131385,-0.02705,0.005204,-0.092992
2001-10-31,0.031788,0.075316,0.021165,0.008586,0.059151,0.054427,0.032945,0.022197,0.035007
2001-11-30,0.062559,0.111476,-0.012651,0.00439,-0.035668,0.082161,0.006447,-0.008299,0.066517
2001-12-31,0.024755,0.102257,-0.008148,0.021299,0.008075,0.059745,0.004528,-0.001472,0.028361
2002-01-31,-0.016575,0.048127,0.003082,0.011422,-0.001566,0.021891,0.017554,0.006268,-0.011637
2002-02-28,-0.009277,0.014542,0.003573,-0.000815,0.020233,0.004045,0.017406,0.005343,-0.010026
2002-03-31,0.036936,0.052866,-0.015288,-0.004803,-0.008118,0.057943,0.007544,-0.014539,0.037576
2002-04-30,-0.05497,-0.012089,0.010199,-0.014137,0.027293,-0.022633,-0.026938,0.00643,-0.053494
2002-05-31,-0.020487,-0.03575,-0.001021,-0.013177,0.013048,-0.017872,-0.012042,-0.000204,-0.020731
2002-06-30,-0.086422,-0.101214,0.013377,-0.025983,0.044197,-0.08437,-0.024961,0.007089,-0.0858
2002-07-31,-0.081931,-0.070967,0.01626,0.003335,0.016571,-0.081407,0.002326,0.011222,-0.083141
2002-08-31,-0.003241,0.012811,0.014754,-0.002714,0.052955,-0.003176,0.034665,0.012625,-0.002405
2002-09-30,-0.105287,-0.104121,0.017736,0.005683,0.051777,-0.095348,-0.028738,0.015067,-0.106689
2002-10-31,0.075219,0.064978,-0.005732,0.00185,-0.036643,0.045308,0.027515,-0.002737,0.073616
2002-11-30,0.050566,0.06414,-0.005013,-0.001519,-0.008662,0.054616,-0.005108,-0.000528,0.05274
2002-12-31,-0.073846,-0.060732,0.016987,-0.026113,0.073096,-0.064158,-0.029217,0.012545,-0.073201
2003-01-31,-0.035322,-0.011091,0.004817,-0.003656,0.044634,-0.014602,0.005275,0.006495,-0.03463
2003-02-28,-0.024992,-0.037462,0.003602,-0.007879,0.021578,-0.031463,0.01092,0.004535,-0.027823
2003-03-31,-0.00796,-0.034327,-0.004706,-0.00466,-0.018944,-0.012317,0.004166,-0.003027,-0.009701
2003-04-30,0.086852,0.083744,0.005051,-0.003412,0.007355,0.067918,0.030997,0.008613,0.085635
2003-05-31,0.043725,0.056827,0.02295,-0.013245,0.100212,0.072463,0.003701,0.021078,0.044011
2003-06-30,0.024544,0.066669,-0.00649,0.009699,-0.009261,0.037059,-0.016043,-0.003345,0.028789
2003-07-31,0.027454,0.068521,-0.026139,0.005837,-0.086213,0.047173,-0.001961,-0.023433,0.027543
2003-08-31,0.016064,0.061336,-0.007468,0.003636,-0.005889,0.042074,0.011922,-0.006948,0.017502
2003-09-30,-0.027005,-0.025262,0.016246,-0.022343,0.058918,-0.028701,0.001919,0.014063,-0.027494
2003-10-31,0.056147,0.080832,-0.010194,0.000935,-0.002561,0.081191,0.018126,-0.008881,0.055478
2003-11-30,0.005103,0.003473,0.001909,-0.009059,0.012054,0.003964,0.006174,0.002057,0.0054
2003-12-31,0.039183,0.047418,0.008692,-0.018206,0.051509,0.026095,0.008669,0.008486,0.038376
2004-01-31,0.015173,0.035186,0.005201,0.00339,0.013597,0.033174,-0.026389,0.003005,0.016575
2004-02-29,0.023458,0.054871,0.010629,6.2e-05,0.062565,0.043504,0.001396,0.011906,0.024942
2004-03-31,-0.019622,-0.000458,-1.6e-05,-0.001999,-0.0032,-0.005084,-0.010744,-0.004044,-0.019011
2004-04-30,0.001876,-0.059949,-0.018986,0.01057,-0.056587,-0.010288,0.011618,-0.013089,0.000301
2004-05-31,0.002014,-0.028134,-0.001797,-0.00729,0.039909,0.001504,0.030449,-0.002693,-0.00061
2004-06-30,0.014262,-0.000778,-0.003035,-0.00193,-0.009669,0.022428,0.010629,-0.00178,0.014608
2004-07-31,-0.023445,-0.008016,0.007303,0.00595,0.023314,-0.030965,-0.002716,0.010073,-0.022881
2004-08-31,-0.003326,0.033263,0.013849,-0.003783,0.030354,0.003772,0.019106,0.013569,-0.002251
2004-09-30,0.012508,0.047798,0.00344,-0.006791,0.020264,0.03182,0.011442,0.004501,0.014608
2004-10-31,0.002023,0.000501,0.001827,-0.012983,0.009562,0.007555,0.013408,0.001037,0.000361
2004-11-30,0.026648,0.065996,0.000763,-0.011262,0.023338,0.046585,0.010283,0.001024,0.028579
2004-12-31,0.03165,0.039975,0.007697,-0.005387,0.030495,0.037332,0.003363,0.007791,0.030182
2005-01-31,-0.005392,0.022242,0.008349,0.017129,-0.009132,0.005723,-0.011942,0.0078,-0.003517
2005-02-28,0.02684,0.084497,-0.006213,-0.005825,0.002713,0.04003,0.007537,-0.00301,0.028136
2005-03-31,-0.007207,-0.056813,-0.001597,0.006553,0.002614,-0.009128,-0.011971,-0.001626,-0.011248
2005-04-30,-0.027097,-0.033151,0.010495,-0.000435,0.020876,-0.038146,-0.002735,0.005795,-0.026921
2005-05-31,0.040068,0.05614,0.006021,0.017406,-0.004483,0.053343,0.020511,0.008445,0.041704
2005-06-30,0.023446,0.04843,0.007917,0.010143,0.018745,0.039249,0.023054,0.009962,0.024309
2005-07-31,0.034682,0.06984,-0.012313,-0.001614,-0.028784,0.048756,0.021968,-0.008962,0.036447
2005-08-31,-0.000734,-0.000208,0.008229,-0.004839,0.046507,-0.007925,0.013984,0.007484,-0.001392
2005-09-30,0.031758,0.099166,-0.014985,0.002381,-0.006233,0.043774,0.008442,-0.011357,0.03462
2005-10-31,-0.015642,-0.056273,-0.006771,0.011162,-0.020684,-0.028144,0.001676,-0.006328,-0.019501
2005-11-30,0.049574,0.101405,0.005299,0.018548,-0.003255,0.077884,0.038976,0.008497,0.053162
2005-12-31,0.019231,0.053188,0.005571,-0.001827,0.019386,0.041713,0.012649,0.004699,0.019344
2006-01-31,0.030851,0.09849,-0.002706,-0.009827,0.020345,0.047699,0.008574,-0.000766,0.037138
2006-02-28,0.000485,-0.000526,-0.002756,0.004826,-0.022746,0.000505,0.00127,-0.001481,8e-06
2006-03-31,0.021286,0.007835,-0.013189,0.00265,-0.043708,0.029304,0.023778,-0.010928,0.021194
2006-04-30,0.003131,0.044776,-0.007997,-0.022297,0.004352,0.014962,0.02447,-0.007525,0.007437
2006-05-31,-0.046069,-0.117791,0.001832,-0.00978,0.020489,-0.057188,-0.004191,-0.000699,-0.050659
